Parameter.groep,Parameter.code,Parameter.omschrijving,Grootheid.code,Eenheid.code
ChemischeStof,DC4ySn,dibutyltin (kation),CONCTTE,ug/l
ChemischeStof,DC8yFt,dioctylftalaat,CONCTTE,ug/l
ChemischeStof,DClBrC1a,dichloorbroommethaan,CONCTTE,ug/l
ChemischeStof,DClC1a,dichloormethaan,CONCTTE,ug/l
ChemischeStof,DClvs,dichloorvos,CONCTTE,ug/l
ChemischeStof,DEET,diethyltoluamide,CONCTTE,ug/l
ChemischeStof,DEHP,bis(2-ethylhexyl)ftalaat (DEHP),CONCTTE,ug/l
ChemischeStof,DFySn,difenyltin (kation),CONCTTE,ng/l
ChemischeStof,DFySn,difenyltin (kation),CONCTTE,ug/l
ChemischeStof,DMST,4-dimethylaminosulfotoluidide,CONCTTE,ug/l
ChemischeStof,DNOC,"4,6-dinitro-o-cresol",CONCTTE,ug/l
ChemischeStof,DONA,trifluor-3-(hexafluor-3-(trifluormethoxy)propoxy)propaanzuur,CONCTTE,ug/l
ChemischeStof,DTPA,di-ethyleentriaminepentaazijnzuur (DTPA),CONCTTE,ug/l
ChemischeStof,Daznn,diazinon,CONCTTE,ug/l
ChemischeStof,Dbzfrn,dibenzofuran,CONCTTE,ug/l
ChemischeStof,Dcba,dicamba,CONCTTE,ug/l
ChemischeStof,Dcbnl,dichlobenil,CONCTTE,ug/l
ChemischeStof,DccC6ySn,dicyclohexyltin (kation),CONCTTE,ug/l
ChemischeStof,DccPeDen,dicyclopentadieen,CONCTTE,ug/l
ChemischeStof,Dcfande,dichlofluanide,CONCTTE,ug/l
ChemischeStof,Dcfl,dicofol,CONCTTE,ug/l
ChemischeStof,Dcfton,dichlofenthion,CONCTTE,ug/l
ChemischeStof,Dclofnc,diclofenac,CONCTTE,ug/l
ChemischeStof,Dcloxclne,dicloxacilline,CONCTTE,ug/l
ChemischeStof,Dctfs,dicrotofos,CONCTTE,ug/l
ChemischeStof,Detfcb,diethofencarb,CONCTTE,ug/l
ChemischeStof,Dfbzrn,diflubenzuron,CONCTTE,ug/l
ChemischeStof,Dffncn,diflufenican,CONCTTE,ug/l
ChemischeStof,Dfncnzl,difenoconazool,CONCTTE,ug/l
ChemischeStof,Dfnxrn,difenoxuron,CONCTTE,ug/l
ChemischeStof,DiC3yEtr,diisopropylether,CONCTTE,ug/l
ChemischeStof,DmTdzl,dimetridazol,CONCTTE,ug/l
ChemischeStof,DmtAd,dimethenamide,CONCTTE,ug/l
ChemischeStof,DmtCl,dimethachloor,CONCTTE,ug/l
ChemischeStof,Dmtat,dimethoaat,CONCTTE,ug/l
ChemischeStof,Dmtmf,dimethomorf,CONCTTE,ug/l
ChemischeStof,DmtnmdC2asfz,dimethenamid ethaansulfonzuur,CONCTTE,ug/l
ChemischeStof,DmtnmdP,dimethenamid-P,CONCTTE,ug/l
ChemischeStof,Dnsb,dinoseb,CONCTTE,ug/l
ChemischeStof,Dntb,dinoterb,CONCTTE,ug/l
ChemischeStof,Dpyrdml,dipyridamol,CONCTTE,ug/l
ChemischeStof,DqBr,diquatdibromide,CONCTTE,ug/l
ChemischeStof,Dqt,diquat,CONCTTE,ug/l
ChemischeStof,Dsftn,disulfoton,CONCTTE,ug/l
ChemischeStof,Dtann,dithianon,CONCTTE,ug/l
ChemischeStof,Durn,diuron,CONCTTE,ug/l
ChemischeStof,EDTA,ethyleendiaminetetraethaanzuur (EDTA),CONCTTE,ug/l
ChemischeStof,EPTC,ethyldipropylthiocarbamaat,CONCTTE,ug/l
ChemischeStof,EtFOSA,N-ethyl perfluoroctaansulfonamide,CONCTTE,ug/l
ChemischeStof,EtFOSAA,perfluoroctaansulfonylamide(N-ethyl)azijnzuur,CONCTTE,ng/l
ChemischeStof,EtFOSAA,perfluoroctaansulfonylamide(N-ethyl)azijnzuur,CONCTTE,ug/l
ChemischeStof,F,fluoride,CONCTTE,mg/l
ChemischeStof,FEOa,Feofytine a,CONCTTE,ug/l
ChemischeStof,FEOb,Feofytine b,CONCTTE,ug/l
ChemischeStof,FRD-903,"2,3,3,3-tetrafluor-2-(heptafluorpropoxy)propionzuur",CONCTTE,ng/l
ChemischeStof,FRD-903,"2,3,3,3-tetrafluor-2-(heptafluorpropoxy)propionzuur",CONCTTE,ug/l
ChemischeStof,Fe,ijzer,CONCTTE,mg/l
ChemischeStof,Fe,ijzer,CONCTTE,ug/l
ChemischeStof,Fen,fenantreen,CONCTTE,ug/l
ChemischeStof,Fle,fluoreen,CONCTTE,ug/l
ChemischeStof,Flu,fluorantheen,CONCTTE,ug/l
ChemischeStof,H-PFC10asfzr,2-(perfluoroctyl)ethaan-1-sulfonzuur (8:2 FTS),CONCTTE,ng/l
ChemischeStof,H-PFC10asfzr,2-(perfluoroctyl)ethaan-1-sulfonzuur (8:2 FTS),CONCTTE,ug/l
ChemischeStof,H-PFC12asfzr,"1H,1H,2H,2H-perfluordodecaansulfonzuur (10:2 FTS)",CONCTTE,ug/l
ChemischeStof,H-PFC6asfzr,2-(perfluorbutyl)ethaan-1-sulfonzuur (4:2 FTS),CONCTTE,ng/l
ChemischeStof,H-PFC6asfzr,2-(perfluorbutyl)ethaan-1-sulfonzuur (4:2 FTS),CONCTTE,ug/l
ChemischeStof,H-PFUdA,"2H,2H,3H,3H-perfluorundecaanzuur",CONCTTE,ug/l
ChemischeStof,H3,tritium,ACTVTCCTTE,mBq/l
ChemischeStof,HCB,hexachloorbenzeen,CONCTTE,ug/l
ChemischeStof,HCO3,waterstofcarbonaat,CONCTTE,mg/l
ChemischeStof,HCO3,waterstofcarbonaat,CONCTTE,mmol/l
ChemischeStof,HCO3,waterstofcarbonaat,MOLRCCTTE,mmol/l
ChemischeStof,HCltazde,hydrochloorthiazide,CONCTTE,ug/l
ChemischeStof,HHCB,hexahydrohexamethylcyclopentabenzopyran (HHCB),CONCTTE,ug/l
ChemischeStof,HPFHpA,7H-perfluorheptaanzuur,CONCTTE,ug/l
ChemischeStof,HTI,"4-hydroxy-2,5,6-trichloorisoftalonitril",CONCTTE,ug/l
ChemischeStof,Hg,kwik,CONCTTE,ug/l
ChemischeStof,Hg203,kwik 203,ACTVTCCTTE,mBq/l
ChemischeStof,HpCl,heptachloor,CONCTTE,ug/l
ChemischeStof,HxClC2a,hexachloorethaan,CONCTTE,ug/l
ChemischeStof,HxClbtDen,hexachloorbutadieen,CONCTTE,ug/l
ChemischeStof,Hxznn,hexazinon,CONCTTE,ug/l
ChemischeStof,I131,jodium 131,ACTVTCCTTE,mBq/l
ChemischeStof,In111,indium 111,ACTVTCCTTE,mBq/l
ChemischeStof,InP,"indeno(1,2,3-cd)pyreen",CONCTTE,ug/l
ChemischeStof,IppnC4ycbmt,joodpropynylbutylcarbamaat,CONCTTE,ug/l
ChemischeStof,IsfrnC1y,jodosulfuron-methyl,CONCTTE,ug/l
ChemischeStof,IsfrnC1yNa,jodosulfuron-methyl-natrium,CONCTTE,ug/l
ChemischeStof,K,kalium,CONCTTE,mg/l
ChemischeStof,K40,kalium 40,ACTVTCCTTE,mBq/l
ChemischeStof,L_PFBS,perfluorbutaansulfonzuur,CONCTTE,ng/l
ChemischeStof,L_PFBS,perfluorbutaansulfonzuur,CONCTTE,ug/l
ChemischeStof,L_PFDS,perfluor-1-decaansulfonzuur,CONCTTE,ng/l
ChemischeStof,L_PFDS,perfluor-1-decaansulfonzuur,CONCTTE,ug/l
ChemischeStof,L_PFHpS,perfluor-1-heptaansulfonzuur,CONCTTE,ng/l
ChemischeStof,L_PFHpS,perfluor-1-heptaansulfonzuur,CONCTTE,ug/l
ChemischeStof,L_PFHxS,perfluorhexaansulfonzuur,CONCTTE,ng/l
ChemischeStof,L_PFHxS,perfluorhexaansulfonzuur,CONCTTE,ug/l
ChemischeStof,La,lanthaan,CONCTTE,ug/l
ChemischeStof,Li,lithium,CONCTTE,ug/l
ChemischeStof,Lu177,lutetium 177,ACTVTCCTTE,mBq/l
ChemischeStof,MCPA,2-methyl-4-chloorfenoxyazijnzuur,CONCTTE,ug/l
ChemischeStof,MCPB,2-methyl-4-chloorfenoxyboterzuur,CONCTTE,ug/l
ChemischeStof,MCPP,mecoprop,CONCTTE,ug/l
ChemischeStof,Mctfs,monocrotofos,CONCTTE,ug/l
ChemischeStof,MeFBSAA,perfluorbutaansulfonylamide(N-methyl)azijnzuur,CONCTTE,ug/l
ChemischeStof,MeFOSA,N-methyl perfluoroctaansulfonamide,CONCTTE,ug/l
ChemischeStof,Mg,magnesium,CONCTTE,mg/l
ChemischeStof,Mg,magnesium,CONCTTE,mmol/l
ChemischeStof,Mg,magnesium,CONCTTE,ug/l
ChemischeStof,Mlnrn,monolinuron,CONCTTE,ug/l
ChemischeStof,Mn,mangaan,CONCTTE,ug/l
ChemischeStof,Mn54,mangaan 54,ACTVTCCTTE,mBq/l
ChemischeStof,Mo,molybdeen,CONCTTE,ug/l
ChemischeStof,Mo99,molybdeen 99,ACTVTCCTTE,mBq/l
ChemischeStof,N-MeFOSAA,N-methylperfluoroctaan sulfonamidoazijnzuur,CONCTTE,ng/l
ChemischeStof,N-MeFOSAA,N-methylperfluoroctaan sulfonamidoazijnzuur,CONCTTE,ug/l
ChemischeStof,NC1yPFC4asfA,N-methylperfluorbutaansulfonamide,CONCTTE,ug/l
ChemischeStof,NH3,ammoniak,CONCTTE,mg/l
ChemischeStof,NH4,ammonium,CONCTTE,mg/l
